"appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"Pandora Music","Play new music &amp; podcasts for free and personalize your streaming experience!","100,000,000+",100000000,4.4170184,3035071,728726,true,true,"Varies with device","Varies with device","Pandora","MUSIC_AND_AUDIO",,"Teen",true,,1552099288000,"Varies with device","Podcasts on Pandora have arrived: <br>•  Discover your new favorite podcast or start with one from our curators.<br>•  Enjoy personalized recommendations based on your listening history.<br>•  Search and play over 100,000+ podcast episodes, with more being added every day.","com.pandora.android","https://play.google.com/store/apps/details?id=com.pandora.android&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"Spotify - Music and Podcasts","Spotify gives you instant access to millions of songs and podcasts.","100,000,000+",100000000,4.568897,14392307,4311172,true,false,"Varies with device","Varies with device","Spotify+Ltd.","MUSIC_AND_AUDIO",,"Teen",true,"May 27, 2014",1552040753000,"Varies with device","We’re always making changes and improvements to Spotify. To make sure you don’t miss a thing, just keep your Updates turned on.","com.spotify.music","https://play.google.com/store/apps/details?id=com.spotify.music&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"YouTube Music - Stream Songs & Music Videos","The official YouTube app built just for music.","100,000,000+",100000000,4.130066,502092,173352,true,false,"Varies with device","Varies with device","5700313618786177705","MUSIC_AND_AUDIO",,"Teen",true,"Nov 12, 2015",1551720688000,"Varies with device","YouTube Music has been completely redesigned. Quickly find the music you’re looking for and get music served to you based on what’s right for the moment you’re in. Want to listen without interruptions? Get 1 free month of Music Premium to listen ad-free, offline, and with your screen locked.","com.google.android.apps.youtube.music","https://play.google.com/store/apps/details?id=com.google.android.apps.youtube.music&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"Free Music Player – Online & Offline MP3 Player","The best free Android music player! Listen to online &amp; offline music!","1,000,000+",1000000,3.9550517,12659,6647,true,false,"7.8M","4.0.3 and up","AURORA+STUDIO","MUSIC_AND_AUDIO",,"Teen",true,"Feb 5, 2018",1551683674000,"1.7.2","--Add &quot;Feedback&quot; feature. If you didn&#39;t find the music you want to listen to, please fill in the Feedback form<br>-Fixed some minor bugs","com.aurora.music","https://play.google.com/store/apps/details?id=com.aurora.music&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"Drum Pad Machine - Make Beats","Be a true rapper and create beats music. This dj app is a perfect music mixer","10,000,000+",10000000,4.4616027,247204,93552,true,true,"27M","4.1 and up","7473634688510685864","MUSIC_AND_AUDIO",,"Everyone",true,"Aug 31, 2014",1551719801000,"2.0.308","- Redesigned Drum Pad Machine focused on simplicity! We completely reconsidered and rebuilt the app to make it sleek and easy-to-use, even if you have no experience with beat maker apps<br>- We improved Beat School to make the learning process even easier! Unique lessons allow everyone feels like a professional beat maker<br>- Performance and stability improvements<br><br>Be a beat maker with Drum Pad Machine!","com.agminstruments.drumpadmachine","https://play.google.com/store/apps/details?id=com.agminstruments.drumpadmachine&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"iHeartRadio - Free Music, Radio & Podcasts","Your Music. Your Stations. Your Podcasts. All Free.","50,000,000+",50000000,4.661247,1987909,606074,true,true,"Varies with device","Varies with device","8821283674927730745","MUSIC_AND_AUDIO",,"Teen",true,,1550257747000,"Varies with device","Manually download your favorite podcast episodes and listen to them without a data connection.","com.clearchannel.iheartradio.controller","https://play.google.com/store/apps/details?id=com.clearchannel.iheartradio.controller&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"Amazon Music","Find and play music you love – get the free Amazon Music app.","100,000,000+",100000000,4.308163,1172155,402032,true,false,"Varies with device","Varies with device","Amazon+Mobile+LLC","MUSIC_AND_AUDIO",,"Teen",false,,1552027633000,"Varies with device","You can now cast to your Alexa devices. Use your phone to play, skip, shuffle, and more on Alexa and Chromecast devices.","com.amazon.mp3","https://play.google.com/store/apps/details?id=com.amazon.mp3&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"Amazon Alexa","ALWAYS READY, CONNECTED, AND FAST. Just ask.","10,000,000+",10000000,3.439549,66434,32183,true,false,"Varies with device","Varies with device","Amazon+Mobile+LLC","MUSIC_AND_AUDIO",,"Everyone",false,"Nov 17, 2014",1552164362000,"Varies with device","Various bug fixes and performance improvements.","com.amazon.dee.app","https://play.google.com/store/apps/details?id=com.amazon.dee.app&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"Apple Music","50 million songs. All ad-free.","10,000,000+",10000000,3.4743054,280214,112970,true,false,"43M","4.3 and up","Apple+Inc.","MUSIC_AND_AUDIO",,"Teen",false,"Nov 10, 2015",1550510467000,"2.7.1","This update includes minor app and performance improvements.","com.apple.android.music","https://play.google.com/store/apps/details?id=com.apple.android.music&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"SoundCloud - Music & Audio","The world’s largest audio and music streaming platform, with over 150M tracks","100,000,000+",100000000,4.5070095,3969603,1014251,true,false,"23M","4.4 and up","SoundCloud","MUSIC_AND_AUDIO",,"Teen",true,"Dec 21, 2010",1551715908000,"2019.02.19-release",,"com.soundcloud.android","https://play.google.com/store/apps/details?id=com.soundcloud.android&hl=en&gl=us"
