"appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"Cash App","Pay your friends instantly, and cash out to your bank for FREE!","10,000,000+",10000000,4.0409827,69444,26391,true,false,"14M","5.0 and up","4878871734928263649","FINANCE",,"Everyone",false,"Oct 15, 2013",1552592000000,"2.45.3","Various bug fixes and improvements","com.squareup.cash","https://play.google.com/store/apps/details?id=com.squareup.cash&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"Venmo Mobile Wallet: Send & Receive Money","Venmo is the fast, fun mobile wallet for sending and receiving money.","10,000,000+",10000000,4.6472187,193763,61524,true,false,"38M","5.0 and up","PayPal,+Inc.","FINANCE",,"Everyone",false,"May 17, 2010",1553089603000,"7.31.1","We worked on the app under the hood. Need some help? Find us at help.venmo.com","com.venmo","https://play.google.com/store/apps/details?id=com.venmo&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"IRS2Go","IRS2Go is the official app of the Internal Revenue Service.","10,000,000+",10000000,4.1057835,33597,7549,true,false,"3.4M","4.0 and up","Internal+Revenue+Service","FINANCE",,"Everyone",false,"Jan 18, 2011",1542305296000,"5.4.3","Thanks for using IRS2Go! This update contains an accessibility enhancement for text-to-speech users &amp; improved support for new devices and operating system versions.","gov.irs","https://play.google.com/store/apps/details?id=gov.irs&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"PayPal Mobile Cash: Send and Request Money Fast","The PayPal mobile app is the secure way to send, receive, and access your money.","50,000,000+",50000000,4.40061,873169,292052,true,false,"56M","4.4 and up","PayPal+Mobile","FINANCE",,"Everyone",false,,1553030767000,"7.6.0","We’ve fixed some bugs and made improvements to how your balance and balance transactions are displayed.","com.paypal.android.p2pmobile","https://play.google.com/store/apps/details?id=com.paypal.android.p2pmobile&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"Credit Karma","Track your credit scores, monitor for ID theft, even file your taxes. It’s free!","10,000,000+",10000000,4.7322154,806887,286638,true,false,"Varies with device","Varies with device","Credit+Karma,+Inc.","FINANCE",,"Everyone",true,"Feb 28, 2013",1553204665000,"Varies with device","• Enhancements and improved stability<br><br>Stay tuned for more updates, and be sure to share your feedback at comments@creditkarma.com.","com.creditkarma.mobile","https://play.google.com/store/apps/details?id=com.creditkarma.mobile&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"TurboTax Tax Return App – Max Refund Guaranteed","Snap a photo of your W-2, answer simple questions, then e-file taxes securely","5,000,000+",5000000,4.250962,61344,25764,true,true,"51M","5.0 and up","7987416923533646496","FINANCE",,"Everyone",false,"Dec 18, 2014",1552684876000,"5.5.0","This release lets you use driver&#39;s license scanned data to help with e-file verification, UI polish, and bug fixes.<br><br>Other new features this tax season:<br>• Real CPAs/EAs review your return, live in the app. With TurboTax Live, all advice/reviews from our tax experts are guaranteed, for 100% confidence<br>• Import your tax docs from Uber/Lyft<br>• Driver&#39;s license barcode scan instantly gets your info with your camera to jump start your taxes.<br><br>E-mail us with feedback at TTAppFeedback@intuit.com","com.intuit.turbotax.mobile","https://play.google.com/store/apps/details?id=com.intuit.turbotax.mobile&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"Bank of America Mobile Banking","View balances, make transfers, deposit checks with the Bank of America App.","10,000,000+",10000000,4.4845223,452582,143153,true,false,"56M","4.4 and up","5615837024201601069","FINANCE",,"Everyone",false,,1553112410000,"8.1.8","We’ve updated the app with our new logo.<br><br>In this release:<br>• Cash Rewards credit card holders can select online shopping, dining, or another category each month as their 3% cash back choice<br>• Checking customers can view Bill Pay history, manage automatic Bill Pay plans, request eBills, and more<br>• Debit card holders can set daily limits for debit card purchases and ATM withdrawals<br>• Erica will notify you when you qualify for Preferred Rewards and allow you to easily enroll","com.infonow.bofa","https://play.google.com/store/apps/details?id=com.infonow.bofa&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"Chase Mobile","Our Chase Mobile App makes it easy for you to bank on the go 24/7.","10,000,000+",10000000,4.6322074,1466381,510416,true,false,"43M","5.0 and up","JPMorgan+Chase","FINANCE",,"Everyone",false,"Nov 19, 2010",1551246544000,"3.63","We’re frequently updating the app in order to give you the best experience. Turn on auto updates to ensure you always have the latest version. <br><br>This update includes: <br>• Minor bug fixes and improvements.","com.chase.sig.android","https://play.google.com/store/apps/details?id=com.chase.sig.android&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"Zelle","Zelle is the fast, safe, easy way to send money to friends and family.","1,000,000+",1000000,2.916755,11316,6484,true,false,"32M","5.0 and up","Early+Warning+Services,+LLC","FINANCE",,"Everyone",false,"Sep 12, 2017",1553202296000,"3.1.1"," We update the app regularly to address bugs and make performance improvements.","com.zellepay.zelle","https://play.google.com/store/apps/details?id=com.zellepay.zelle&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"Fresh EBT - Food Stamp Balance","Check your EBT Card balance and Food Stamp spending. Accurate, free, and secure!","1,000,000+",1000000,4.599529,38210,14714,true,false,"12M","4.0.3 and up","7865210919269742770","FINANCE",,"Everyone",false,"Dec 24, 2015",1553286201000,"3.1.8","Bug fixes and updates. We&#39;re always working to make Fresh EBT better for you!","com.propel.ebenefits","https://play.google.com/store/apps/details?id=com.propel.ebenefits&hl=en&gl=us"
