"appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"Family Locator - GPS Tracker","Family Locator lets you know your family is safe, even when they’re far away!","50,000,000+",50000000,4.464464,917145,318878,true,true,"47M","4.4 and up","Life360","LIFESTYLE",,"Everyone",false,"Apr 7, 2010",1553559582000,"18.3.0","Thanks for using Life360! We’re always making changes and improvements behind the scenes; to ensure that you do not miss anything, please keep your updates turned on.<br>- Bug fixes and performance improvements","com.life360.android.safetymapd","https://play.google.com/store/apps/details?id=com.life360.android.safetymapd&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"Google Home","Set up and control your Chromecast, Chromecast Audio, and Google Home devices","50,000,000+",50000000,4.057995,560428,148352,true,false,"23M","4.4 and up","5700313618786177705","LIFESTYLE",,"Everyone",false,"Jul 18, 2013",1554161779000,"2.9.65.15","With the new Google Home app, you can now control, organize and manage compatible lights, cameras, TVs and more, all from just one place.<br><br><br>• One simple view, with you in control.<br>• Shortcuts for the things you do most, like turning on and off the lights or playing music.<br>• Check up on your home when you’re away, or use it as a remote for your Google Home, Chromecast and other devices","com.google.android.apps.chromecast.app","https://play.google.com/store/apps/details?id=com.google.android.apps.chromecast.app&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"Tinder","Match, Chat &amp; Meet New People","100,000,000+",100000000,3.9848309,3288596,847593,true,true,"20M","5.0 and up","8070166968320699506","LIFESTYLE",,"Mature 17+",true,"Jul 15, 2013",1554141344000,"10.11.1","bug fixes and improvements","com.tinder","https://play.google.com/store/apps/details?id=com.tinder&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"SmartThings","Control your Samsung Smart TVs, appliances, and SmartThings-compatible devices","100,000,000+",100000000,4.099334,214096,60430,true,false,"62M","Varies with device","5200379633052405703","LIFESTYLE",,"Everyone",false,"Apr 17, 2017",1550580087000,"1.7.27-25","Welcome to the new SmartThings app!<br><br>This release brings you a fresh new look and a streamlined view of your home, while keeping all the features used to monitor, control, and automate your home from anywhere in the world. We&#39;ve also simplified the process for finding new devices to add. <br>To learn more about these changes, please see &quot;How to use&quot; menu in the app.","com.samsung.android.oneconnect","https://play.google.com/store/apps/details?id=com.samsung.android.oneconnect&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"Ms.Sibyl - See Future Me","Ms.Sibyl - Time Machine to get old face and scan your palm lines to get report.","500,000+",500000,2.8828964,5303,3758,true,true,"13M","4.4 and up","GHOST+TEAM","LIFESTYLE",,"Everyone",true,"Feb 19, 2019",1552562021000,"1.02","- Fix bugs","com.ghost.sibyl","https://play.google.com/store/apps/details?id=com.ghost.sibyl&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"FaceApp","Transform your face using Artificial Intelligence in just one tap!","10,000,000+",10000000,4.371751,461758,152933,true,true,"12M","4.4 and up","FaceApp+Inc","PHOTOGRAPHY",,"Everyone",true,"Feb 14, 2017",1553874024000,"3.3.2","New in 3.3.2:<br>- fixed problem when PRO users get &quot;too many requests&quot; error<br>- fixed app stopping after photo uploaded on some devices<br><br>New in 3.3.1:<br>This is a major release that adds a ton of improvements:<br>- new Tattoo tool in Editor<br>- rethought Adjustments tools in Editor<br>- updated Vignette tool, now both black and white<br>- added translations to Netherlands language<br>- and plural stability fixes<br><br>FaceApp team","io.faceapp","https://play.google.com/store/apps/details?id=io.faceapp&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"Horoscope Prediction - Zodiac Signs Astrology","Check daily horoscope &amp; compatibility, know more about yourself.","1,000,000+",1000000,3.5772052,4773,2779,true,false,"21M","4.1 and up","Moxi+Studio","LIFESTYLE",,"Everyone",true,"Jan 8, 2019",1553951847000,"1.0.8","Bugs fixed","com.horoscope.astrology.crystalball.predict","https://play.google.com/store/apps/details?id=com.horoscope.astrology.crystalball.predict&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"The PCH App","Want To Win $7,000.00 A Week For Life!  Get the App for 2X ENTRIES!","5,000,000+",5000000,4.5097246,306020,113510,true,false,"86M","4.4 and up","Publishers+Clearing+House","LIFESTYLE",,"Everyone",true,"Apr 16, 2013",1554134672000,"2.9.5.79282","- Various updates and bug fixes.","pch.apps.pchsweeps","https://play.google.com/store/apps/details?id=pch.apps.pchsweeps&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"Notepad - Notes with Reminder, ToDo, Sticky notes","Take notes at anytime and wherever you go using this free notepad app.","1,000,000+",1000000,4.798023,48362,20135,true,false,"7.6M","4.1 and up","Lemon,+Inc","LIFESTYLE",,"Everyone",true,"Nov 14, 2017",1541439126000,"1.2.1","1. Performance enhancement<br>2. User Experience Improvement","notes.notebook.memo.pad.color.notepad.locker","https://play.google.com/store/apps/details?id=notes.notebook.memo.pad.color.notepad.locker&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"Unicorn Slime Maker and Simulator","Unicorn Slime Maker and Simulator Rainbow Satisfying App - play Release Stress","5,000,000+",5000000,3.6439595,18335,9511,true,false,"50M","4.1 and up","Kitchen+Tale","LIFESTYLE",,"Everyone",true,"Sep 13, 2018",1553255386000,"2.2","New Glitter Slime, Unicorn Horse Making, Mermaid Slime and Chocolate Slime <br>Zombie,Halloween Theme Slime,Winter Slime, 3D Slime Simulator Added,Glow in the Dark Slime Added and Many More<br>Bug Fixes<br>Foot Ball Slime  and Makeup slime with lots of cosmetic <br>New Toilet Toys<br>Improve Game Play<br>Slime Free Play **<br>Bug Fixed","com.kt.oodlysatisfying.slimemaker","https://play.google.com/store/apps/details?id=com.kt.oodlysatisfying.slimemaker&hl=en&gl=us"
