"appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"Sweatcoin Pays You To Get Fit","Turn your steps to &#39;sweat coins&#39; - digital currency to make you fit and active!","10,000,000+",10000000,3.9182022,85907,47993,true,false,"24M","4.4 and up","Sweatco+Ltd","HEALTH_AND_FITNESS",,"Everyone",true,"Apr 9, 2017",1554307020000,"15.1","We update the Sweatcoin app regularly to make earning more effective and fun for you.<br>Please get the latest version for our new features, performance improvements and bug fixes aimed to help you be more physically active.<br>Thank you for walking with Sweatcoin!","in.sweatco.app","https://play.google.com/store/apps/details?id=in.sweatco.app&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"Calm - Meditate, Sleep, Relax","Join the millions discovering the life-changing benefits of meditation with Calm","10,000,000+",10000000,4.5409365,140144,51021,true,true,"Varies with device","Varies with device","Calm.com,+Inc.","HEALTH_AND_FITNESS",,"Everyone",false,"Jul 30, 2014",1554700073000,"Varies with device","We&#39;re excited to announce that Calm is now available in Spanish. Go to &quot;Settings -&gt; Change language” for Spanish meditations and Sleep Stories.<br><br>We&#39;re delighted to release a Sleep Timer for Calm Music and Soundscapes. You can fall asleep knowing your music or soundscape will stop at your specified time. Tap the timer icon in the music player to set one up.<br><br>As always, you can expect an original Daily Calm every day, new music and Sleep Stories every week, and new Meditation programs every month.","com.calm.android","https://play.google.com/store/apps/details?id=com.calm.android&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"Samsung Health","Lifestyle companion to track your fitness, weight, diet, food &amp; sleep.","500,000,000+",500000000,4.3210464,675806,217732,true,false,"79M","5.0 and up","5200379633052405703","HEALTH_AND_FITNESS",,"Everyone",false,"Apr 7, 2015",1554442860000,"6.3.0.027","-Galaxy Fit is supported.<br>-Various bug fixes and improvements applied.","com.sec.android.app.shealth","https://play.google.com/store/apps/details?id=com.sec.android.app.shealth&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"Fitbit","Fitbit is dedicated to helping people lead healthier, more active lives.","10,000,000+",10000000,3.8902168,447109,198723,true,false,"Varies with device","Varies with device","Fitbit,+Inc.","HEALTH_AND_FITNESS",,"Everyone",false,"Mar 16, 2012",1554303163000,"Varies with device","*Bug fixes and performance improvements","com.fitbit.FitbitMobile","https://play.google.com/store/apps/details?id=com.fitbit.FitbitMobile&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"Calorie Counter - MyFitnessPal","Lose weight with MyFitnessPal, the easiest calorie counter and macro tracker","50,000,000+",50000000,4.600294,2050117,711271,true,true,"Varies with device","Varies with device","MyFitnessPal,+Inc.","HEALTH_AND_FITNESS",,"Everyone",true,"Apr 26, 2010",1554227435000,"Varies with device","Whether you want to log your lowest weight in years, your first run in weeks, or your heart healthy afternoon snack, we know you count on MyFitnessPal to be working smoothly.<br><br>Want to try new features before everyone else? Join our beta program: http://undrarmr.co/2o6qBid<br><br>We hope you enjoy and happy tracking!","com.myfitnesspal.android","https://play.google.com/store/apps/details?id=com.myfitnesspal.android&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"Lose Belly Fat in 30 Days - Flat Stomach","Want to Lose Belly Fat fast at Home?<br>Want to get a Flat Stomach in 30 days?","10,000,000+",10000000,4.860168,147763,58218,true,false,"10M","4.2 and up","Leap+Fitness+Group","HEALTH_AND_FITNESS",,"Everyone",true,"Apr 12, 2018",1552984462000,"1.1.5",,"losebellyfat.flatstomach.absworkout.fatburning","https://play.google.com/store/apps/details?id=losebellyfat.flatstomach.absworkout.fatburning&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"Headspace: Meditation & Sleep","Just a few minutes can change your day","10,000,000+",10000000,4.492435,98675,36685,true,true,"31M","4.4 and up","Headspace,+Inc.","HEALTH_AND_FITNESS",,"Everyone",false,"Jan 6, 2012",1553102254000,"3.20.1","A steady meditation practice can calm the mind. But sometimes a bug appears in the app and it distracts us. We removed that bug from this latest version, and we already feel more at ease.<br><br>If you run into any trouble, let us know at help@headspace.com","com.getsomeheadspace.android","https://play.google.com/store/apps/details?id=com.getsomeheadspace.android&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"Drink Water Reminder: Water Tracker & Alarm","💧Drink water reminder with Water Tracker, Water Alarm, and Water Intake Record.","10,000,000+",10000000,4.8627234,278460,118856,true,true,"4.7M","4.0.3 and up","Simple+Health+Lab","HEALTH_AND_FITNESS",,"Everyone",true,"Jan 12, 2018",1555076419000,"1.4.2","- Bug fixes and performance improvements.<br><br>Keep tracking, and keep fit! Happy drinking.","com.health.lab.drink.water.tracker","https://play.google.com/store/apps/details?id=com.health.lab.drink.water.tracker&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"CVS/pharmacy","The official CVS/pharmacy® app for prescriptions, ExtraCare® coupons and photo.","10,000,000+",10000000,4.381012,161701,56173,true,false,"63M","4.4 and up","CVS+Pharmacy","HEALTH_AND_FITNESS",,"Everyone",false,"Jun 15, 2011",1554750128000,"5.4.0","In this update, we made some minor bug fixes and improvements to make your app experience even better!","com.cvs.launchers.cvs","https://play.google.com/store/apps/details?id=com.cvs.launchers.cvs&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"Lose It! - Calorie Counter","“Be committed! Be persistent! Don’t give up!” - Judy, lost 55 lbs with Lose It!","10,000,000+",10000000,4.3824687,76320,30480,true,true,"Varies with device","Varies with device","FitNow,+Inc.","HEALTH_AND_FITNESS",,"Everyone",true,"Jul 24, 2011",1555013872000,"Varies with device","Tried to use a special container for vegetables today, but it had a major leek in it. Anywho, here&#39;s a list of updates (two are useful for tablet users):<br><br>- Fixed random crash<br>- Improved clarity on your macronutrient header bars<br>- Corrected huge menu text on tablets<br>- Fixed crash when editing plan on tablet<br><br>Can&#39;t beet a set of good ol&#39; fashioned fixes.","com.fitnow.loseit","https://play.google.com/store/apps/details?id=com.fitnow.loseit&hl=en&gl=us"
