"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"Roblox","com.roblox.client","https://play.google.com/store/apps/details?id=com.roblox.client","https://lh3.googleusercontent.com/TRYfBPeSTZr5ZF2U_pyY1oZg03S6a_DuuCKJR4li0zFg4__RDsM_tLWxbjMplTkfHqU","Roblox Corporation","5360036014478858866","FREE",true,"Roblox lets you play, create, and be anything you can imagine.","4.6",4.553322"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"Love Poly - New puzzle game","com.love.poly.puzzle.game","https://play.google.com/store/apps/details?id=com.love.poly.puzzle.game","https://lh3.googleusercontent.com/0MNybshHOehYkp6iNt4TuTGHQ9EuH2B9CstiyNsoMUGQf36KcENqxya86VZPP69y2h1I","incolor","incolor","FREE",true,"A brand-new 3D puzzle + brain teaser game! Challenge your brain!","4.4",4.4271746"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"Tag with Ryan","com.WildWorks.RyansTag","https://play.google.com/store/apps/details?id=com.WildWorks.RyansTag","https://lh3.googleusercontent.com/wWfhpkfhOgGfOb98xNFfeVEd4j4tTPSIk_2OGRlSFiFGcVOPM8lxctL_GJT363tQGQ","WildWorks","5526536669105149839","FREE",true,"Become Ryan from Ryan ToysReview and see how far you can go!","4.1",4.144479"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"Super Bino Go - New Games 2019","com.superbinogo.jungleboyadventure","https://play.google.com/store/apps/details?id=com.superbinogo.jungleboyadventure","https://lh3.googleusercontent.com/WVfErHCIAi42lMQJw_h8lD1_hkRrnLYltJfygC6fsMN6VQBpdfMQNmvHg8f_hat0zg","OneSoft Global PTE. LTD.","5015266578532322195","FREE",true,"Run, Jump and Smash everything with Bino New Adventure 2019 - Save the Princess","4.3",4.2998686"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"YouTube Kids","com.google.android.apps.youtube.kids","https://play.google.com/store/apps/details?id=com.google.android.apps.youtube.kids","https://lh3.googleusercontent.com/k_HSvNKlleJNrzuL3OqDuXFm3Es8d77UQtiZvPqLg8lera9Xj99GRkDwWaJGMz8nkb1B","Google LLC","5700313618786177705","FREE",true,"Best video app for all kids","4.4",4.442216"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"Duolingo: Learn Languages Free","com.duolingo","https://play.google.com/store/apps/details?id=com.duolingo","https://lh3.googleusercontent.com/Yfps1k5jfeCC6j3ahm1s6dyUrSHusfk_1WDSTRjSNpZA49iYSKd_uljgs9UScBXgISOX","Duolingo","6957685454452609502","FREE",true,"Learn English, Spanish, French, German, Italian and more languages for free.","4.7",4.720028"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"Toca Kitchen 2","com.tocaboca.tocakitchen2","https://play.google.com/store/apps/details?id=com.tocaboca.tocakitchen2","https://lh3.googleusercontent.com/7X8jrMNUyu8X4hs7WFNpEOV77xNc7agNTUOAFd6Kx3sw1XrlX7ZicIQQvVt7SOCYTqQ","Toca Boca","8567646723268777320","FREE",true,"The wildly popular Toca Kitchen is back!","4.5",4.479342"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"WildCraft: Animal Sim Online 3D","com.turborocketgames.wildcraft","https://play.google.com/store/apps/details?id=com.turborocketgames.wildcraft","https://lh3.googleusercontent.com/3fp2B459bCUBPM1b9uVBbeB5Gse2PNDLd9W5ySIP6ZZHAuUiAiLWHqO1WtQfEb16CiE","Turbo Rocket Games","6804371481370659921","FREE",true,"Explore the wild world with custom animals. Play this free online simulator game","4.6",4.594372"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"Minion Rush: Despicable Me Official Game","com.gameloft.android.ANMP.GloftDMHM","https://play.google.com/store/apps/details?id=com.gameloft.android.ANMP.GloftDMHM","https://lh3.googleusercontent.com/ulDj4O7e0DXG1ULM3lOiVnPn6_dTB3VQZn9U7_zM5YPMAk6IC2_Dx6ihakwVFhtuwA","Gameloft","6258770168633898802","FREE",true,"Run and have fun with the Minions in the official Despicable Me game!","4.5",4.452858"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"DisneyNOW – Episodes & Live TV","com.disney.datg.videoplatforms.android.watchdc","https://play.google.com/store/apps/details?id=com.disney.datg.videoplatforms.android.watchdc","https://lh3.googleusercontent.com/OPsMFDcFSAyGfyiLEaBCqo05qPKgPHUVp9Z5Gv_OAHEkIr35x2kGQcAJb13AhPwIOf40","Disney","Disney","FREE",true,"Access the best of Disney TV and games all in one place, whenever, wherever!","4.3",4.3405294
