"appTitle","userName","date","score","text"
"Tomb of the Mask","Doctor Zock","March 8, 2019",3,"A great art style and fun, addictive game play, but the game is weighed down by excessive ads and microtransactions. I'd be more than happy to purchase a complete version of the game for $10-15 dollars, but the closest option is the $8-a-month ""Diamond Membership"", which is frankly absurd."
"Tomb of the Mask","","March 8, 2019",5,"I am getting the hang of it."
"Tomb of the Mask","Noe Vazquez","March 8, 2019",1,"gucking ads pop out of nowhere😠😭"
"Tomb of the Mask","","March 8, 2019",5,"this game is the best game i ever played"
"Tomb of the Mask","","March 8, 2019",5,"I love it"
"Tomb of the Mask","Aleena Ariana","March 8, 2019",1,"whenever i open this app,the screen goes BLANK.BLANK i cant even play the game!!"
"Tomb of the Mask","DezaRaye Chavez","March 8, 2019",5,"awesome"
"Tomb of the Mask","","March 8, 2019",3,"wish there wasn't so many ads especially the pay to get rid if ads, ads! hahaha!!!"
"Tomb of the Mask","Nikisha Belt","March 8, 2019",5,"i really love the game its just really r really funn"
"Tomb of the Mask","","March 8, 2019",5,"Maybe add some more levels??"
"Tomb of the Mask","Frozen Jackal","March 8, 2019",1,"I get that F2P have ads, but the amount of ads this game throws at you is uncalled for. Also, who in their right mind would pay a subscription service for a mobile game? The actual game part is fun, a shame it's buried under do much garbage."
"Tomb of the Mask","Linda Weaver","March 8, 2019",5,"I want to take mini twist set swipe and up!"
"Tomb of the Mask","Melissa Foster","March 8, 2019",4,"fun"
"Tomb of the Mask","Anabella Tufano","March 8, 2019",5,"I love this app so much so much"
"Tomb of the Mask","","March 8, 2019",5,"this is a nice game"
"Tomb of the Mask","Rich Merrick","March 8, 2019",2,"purely as a game, this great, I can see myself being addicted to this and really liking it. The user experience and flow is destroyed by constant ads, after each level, two on loading the app, start a new level and the shield can be got free by watching an ad (the button blinks to draw attention), at the end, after you watched the ad, you can then watch another to open a chest, and after that you can double your reward if you just watch one more ad. its ok, you can remove ads for a weekly $7.99!"
"Tomb of the Mask","","March 8, 2019",5,"eh dx.dnjdudnemss"
"Tomb of the Mask","Zara Wakelin","March 8, 2019",4,"gggggggg"
"Tomb of the Mask","","March 8, 2019",5,"coolest game"
"Tomb of the Mask","","March 8, 2019",5,"djrgjs his nsbdvsn . I love it!"
"Tomb of the Mask","Cold Desert","March 8, 2019",4,"different to say the least. good for anyone"
"Tomb of the Mask","","March 8, 2019",5,"This game is awesome! i like the idea of this game,it's really fun I don't get annoyed by the ads! i give this game 5 stars! i loved it❤"
"Tomb of the Mask","Braulio Naula","March 8, 2019",3,"dh"
"Tomb of the Mask","Micheal Freeman","March 8, 2019",5,"it's so much fun!!!😁"
"Tomb of the Mask","The Pianist","March 8, 2019",5,"This is a great and fun game, but could you please add a level maker and more levels? I went through all 200 of them I need more"
"Tomb of the Mask","","March 8, 2019",5,"it's so much fun"
"Tomb of the Mask","","March 8, 2019",5,"yeeet"
"Tomb of the Mask","","March 8, 2019",5,"Its very fun and sometimes a little tricky"
"Tomb of the Mask","Keep Public Servants Accountable","March 8, 2019",1,"sub 2 pewdiepie 👏"
"Tomb of the Mask","stephen herbas","March 8, 2019",1,"make more levels"
"Tomb of the Mask","Link Gaming","March 8, 2019",5,"gg"
"Tomb of the Mask","guero bruh420","March 8, 2019",5,"it's the best thing"
"Tomb of the Mask","","March 8, 2019",5,"cool,loving it"
"Tomb of the Mask","The Duke Of Legends","March 8, 2019",5,"good"
"Tomb of the Mask","Brittany Carroll","March 8, 2019",5,"It's very fun and challenging"
"Tomb of the Mask","","March 8, 2019",3,"I think this is a really cool styled game and by-the-way I can't say why it is so cool. BYE😊"
"Tomb of the Mask","","March 8, 2019",5,"its pretty cool and retro"
"Tomb of the Mask","","March 8, 2019",5,"yas"
"Tomb of the Mask","","March 8, 2019",1,"IT IS EPIC!!!!!! AND I MEAN IT!!!!"
"Tomb of the Mask","Aryana Lawson","March 8, 2019",5,"sounds like a good game"
"Helix Jump","Shona Manuel","March 8, 2019",5,"hooked on this game"
"Helix Jump","","March 8, 2019",5,"Really good and addicting to play!"
"Helix Jump","","March 8, 2019",1,"this game drowns you in adds"
"Helix Jump","","March 8, 2019",5,"soooooooooooo fun"
"Helix Jump","Wahdeana McElyea","March 8, 2019",4,"it glitches sometimes but it is really fuunn!!!!"
"Helix Jump","Brady Bowman","March 8, 2019",5,"fun"
"Helix Jump","","March 8, 2019",5,"great"
"Helix Jump","Mandy Waters","March 8, 2019",5,"very editing and is very fun but some what rage enduring"
"Helix Jump","","March 8, 2019",5,"this is a fun game i reely like it i meen it is great to"
"Helix Jump","rexmasonjr76","March 8, 2019",1,"My experience with this game has just been simply awful. I got ads when I bought ad-free. It's a lag house and if you don't have the right phone or tablet you are practically are just throwing throwing darts. I mean the game is fun but it's frustrating when you're trying to record, it won't let me play, making it frustrating because nothing will actually happen because something will go wrong and make me angery. This is why I uninstalled this game in not even a day."
"Helix Jump","FORTNITEGAMER5678 789032","March 8, 2019",5,"woah"
"Helix Jump","","March 8, 2019",5,"this is the best game ever"
"Helix Jump","","March 8, 2019",1,"don't get this game at all it glitches and kills you"
"Helix Jump","","March 8, 2019",5,"this game is awesome 👍👍👍"
"Helix Jump","Maureen Northrup","March 8, 2019",1,"you do not work"
"Helix Jump","NENE ABAO","March 8, 2019",5,"nice game"
"Helix Jump","","March 8, 2019",1,"I am so mad this game gives so many ads is impossible to even be a level without 3 adds that's why I'm giving it a one star rating"
"Helix Jump","Medina Dizdarevic","March 8, 2019",3,"idk"
